subject,fixation_count_A,fixation_count_B,fixation_count_C,fixation_count_D,mean_fixation_duration_A,mean_fixation_duration_B,mean_fixation_duration_C,mean_fixation_duration_D,mean_pupil_size_A,mean_pupil_size_B,mean_pupil_size_C,mean_pupil_size_D,mean_saccade_mag_A,mean_saccade_mag_B,mean_saccade_mag_C,mean_saccade_mag_D,fixation_count_single,fixation_count_multi,mean_fixation_duration_single,mean_fixation_duration_multi,mean_pupil_size_single,mean_pupil_size_multi,mean_saccade_mag_single,mean_saccade_mag_multi,fixation_count_F,fixation_count_P,mean_fixation_duration_F,mean_fixation_duration_P,mean_pupil_size_F,mean_pupil_size_P,mean_saccade_mag_F,mean_saccade_mag_P
1,143.25,170.0,62.25,164.0,0.3277,0.3402,0.3427,0.3486,4.3856,3.9487,4.063,3.8311,341.3292,389.3402,352.9906,368.2276,102.75,167.0,0.3352,0.34440000000000004,4.2242999999999995,3.8899,347.1599,378.7839,156.625,113.125,0.33394999999999997,0.34565,4.16715,3.94705,365.3347,360.6091
2,88.75,417.75,122.75,181.75,0.2261,0.2356,0.224,0.2428,4.6089,4.6754,4.6196,4.5563,595.641,585.6042,651.7898,631.5334,105.75,299.75,0.22505,0.2392,4.61425,4.61585,623.7154,608.5688,253.25,152.25,0.23085,0.2334,4.64215,4.58795,590.6225999999999,641.6616
4,130.5,209.25,68.25,314.0,0.2895,0.284,0.2911,0.2901,4.6013,4.2268,4.381,4.6493,278.9109,324.7882,326.1295,305.667,99.375,261.625,0.2903,0.28705,4.49115,4.4380500000000005,302.52020000000005,315.2276,169.875,191.125,0.28674999999999995,0.2906,4.41405,4.51515,301.84955,315.89824999999996
5,117.0,196.25,93.5,138.5,0.3307,0.3344,0.3021,0.3232,3.8945,3.7586,3.8573,3.616,331.6174,402.6964,360.259,386.7765,105.25,167.375,0.3164,0.3288,3.8758999999999997,3.6873,345.9382,394.73645,156.625,116.0,0.33255,0.31265,3.82655,3.73665,367.15689999999995,373.51775
6,80.5,478.0,84.75,214.0,0.376,0.3914,0.4053,0.4033,3.5441,3.573,3.612,3.6085,304.1902,386.4117,317.1128,302.7544,82.625,346.0,0.39065,0.39735,3.57805,3.59075,310.6515,344.58304999999996,279.25,149.375,0.38370000000000004,0.4043,3.55855,3.6102499999999997,345.30095,309.93359999999996
7,94.5,145.5,43.75,260.0,0.3236,0.3323,0.351,0.3379,3.917,3.78,3.8031,3.9257,315.7906,373.0449,365.5293,332.5912,69.125,202.75,0.3373,0.33509999999999995,3.86005,3.85285,340.65995,352.81804999999997,120.0,151.875,0.32794999999999996,0.34445,3.8484999999999996,3.8644,344.41774999999996,349.06025
8,102.75,144.25,67.0,263.5,0.3147,0.324,0.3204,0.3202,4.9348,4.7433,4.7773,4.763,325.2962,389.5182,355.9716,341.4231,84.875,203.875,0.31755,0.3221,4.85605,4.75315,340.63390000000004,365.47065,123.5,165.25,0.31935,0.32030000000000003,4.83905,4.77015,357.4072,348.69735000000003
9,95.75,295.75,98.0,215.75,0.3466,0.3784,0.3619,0.3458,5.4214,5.4763,5.5044,5.2984,322.8097,265.6376,298.2644,295.1978,96.875,255.75,0.35425,0.3621,5.4629,5.38735,310.53705,280.41769999999997,195.75,156.875,0.36250000000000004,0.35385,5.44885,5.401400000000001,294.22365,296.73109999999997
10,133.5,211.25,47.25,468.75,0.2798,0.2692,0.2762,0.2949,3.9829,3.9422,4.261,4.0099,312.991,306.6726,346.6678,289.5122,90.375,340.0,0.278,0.28205,4.12195,3.97605,329.82939999999996,298.0924,172.375,258.0,0.27449999999999997,0.28554999999999997,3.9625500000000002,4.1354500000000005,309.8318,318.09000000000003
11,133.25,193.25,95.5,156.75,0.3366,0.3292,0.3364,0.3302,5.3701,5.049,5.1183,4.8586,355.948,336.8677,343.3609,347.8177,114.375,175.0,0.3365,0.3297,5.244199999999999,4.9538,349.65445,342.34270000000004,163.25,126.125,0.3329,0.3333,5.20955,4.98845,346.40785,345.5893
12,65.25,479.0,87.25,165.0,0.3422,0.3443,0.3324,0.3424,4.3222,4.2872,4.2442,4.2653,327.6279,288.2546,342.5202,342.6497,76.25,322.0,0.3373,0.34335,4.2832,4.27625,335.07405,315.45214999999996,272.125,126.125,0.34325,0.3374,4.3047,4.25475,307.94124999999997,342.58495
13,121.25,158.5,76.25,141.5,0.3342,0.3389,0.3433,0.3556,3.9923,3.7203,4.1392,3.8706,301.8163,348.0501,310.7404,319.5924,98.75,150.0,0.33875,0.34725,4.0657499999999995,3.7954499999999998,306.27835000000005,333.82124999999996,139.875,108.875,0.33655,0.34945000000000004,3.8563,4.0049,324.9332,315.1664
14,98.5,148.0,49.5,379.0,0.3203,0.3349,0.3272,0.351,4.5149,4.3591,4.4066,4.5922,334.2246,366.9115,385.6209,335.4587,74.0,263.5,0.32375,0.34295,4.46075,4.47565,359.92275,351.18510000000003,123.25,214.25,0.3276,0.33909999999999996,4.436999999999999,4.4994,350.56804999999997,360.5398
15,133.0,178.5,105.0,132.25,0.3136,0.3222,0.3085,0.3266,4.4384,4.3869,4.5348,4.444,310.5864,337.3912,361.6425,364.3958,119.0,155.375,0.31105,0.3244,4.486599999999999,4.41545,336.11445000000003,350.8935,155.75,118.625,0.31789999999999996,0.31755,4.412649999999999,4.4894,323.9888,363.01914999999997
16,229.0,188.75,134.75,236.25,0.3086,0.3006,0.3212,0.3107,4.4225,4.3742,4.296,4.2664,290.2897,321.2803,324.3943,322.3401,181.875,212.5,0.31489999999999996,0.30565,4.35925,4.3203,307.342,321.8102,208.875,185.5,0.3046,0.31594999999999995,4.398350000000001,4.2812,305.78499999999997,323.3672
17,102.75,223.25,80.75,374.0,0.3141,0.3225,0.3044,0.3415,4.2506,4.1451,4.0487,4.3584,322.4446,294.5041,292.0696,300.0651,91.75,298.625,0.30925,0.332,4.14965,4.2517499999999995,307.2571,297.28459999999995,163.0,227.375,0.3183,0.32295,4.197850000000001,4.20355,308.47434999999996,296.06735
18,102.25,196.5,128.5,148.75,0.3104,0.321,0.3341,0.3397,5.4697,5.2207,5.6492,5.316,358.5495,322.4696,349.4267,369.6458,115.375,172.625,0.32225000000000004,0.33035000000000003,5.55945,5.26835,353.98810000000003,346.0577,149.375,138.625,0.3157,0.3369,5.3452,5.4826,340.50955,359.53625
19,136.5,167.25,59.5,266.25,0.2995,0.3083,0.2685,0.3104,5.0007,4.7785,5.0514,4.8848,320.983,320.968,355.318,335.813,98.0,216.75,0.28400000000000003,0.30935,5.02605,4.83165,338.15049999999997,328.3905,151.875,162.875,0.3039,0.28945,4.8896,4.9681,320.9755,345.5655
20,132.25,145.25,118.0,171.75,0.309,0.313,0.3146,0.321,4.4948,4.3534,4.3219,4.333,305.6139,363.6415,321.0101,351.3688,125.125,158.5,0.31179999999999997,0.317,4.40835,4.3431999999999995,313.312,357.50515,138.75,144.875,0.311,0.31779999999999997,4.424099999999999,4.327450000000001,334.6277,336.18945
21,111.25,167.75,132.5,179.0,0.2952,0.2965,0.3174,0.3148,3.33,3.1414,3.2222,3.2084,317.7483,337.1783,334.0062,332.5988,121.875,173.375,0.3063,0.30565,3.2761,3.1749,325.87725,334.88855,139.5,155.75,0.29585,0.31610000000000005,3.2357,3.2153,327.4633,333.3025
22,91.5,139.25,84.5,144.75,0.3188,0.3228,0.3421,0.3482,4.2361,4.0944,4.3248,4.253,332.1949,332.2627,343.9874,393.75,88.0,142.0,0.33045,0.3355,4.28045,4.1737,338.09114999999997,363.00635,115.375,114.625,0.3208,0.34515,4.16525,4.2889,332.2288,368.8687
23,110.5,146.75,79.5,137.25,0.2935,0.299,0.3195,0.3257,5.0919,4.9392,4.899,4.825,386.5374,410.6884,372.9346,405.2351,95.0,142.0,0.3065,0.31235,4.99545,4.882099999999999,379.736,407.96175,128.625,108.375,0.29625,0.3226,5.015549999999999,4.862,398.61289999999997,389.08484999999996
24,122.5,177.75,42.25,273.0,0.2949,0.3004,0.2941,0.3005,3.4608,3.415,3.4743,3.467,316.1752,272.704,347.3656,284.3609,82.375,225.375,0.2945,0.30045,3.46755,3.441,331.7704,278.53245000000004,150.125,157.625,0.29764999999999997,0.2973,3.4379,3.47065,294.43960000000004,315.86325
25,79.0,340.25,158.5,194.5,0.3257,0.3478,0.3196,0.3396,4.038,4.1722,4.1861,3.9468,379.1745,329.1644,347.1508,354.0384,118.75,267.375,0.32265,0.3437,4.11205,4.0595,363.16265,341.6014,209.625,176.5,0.33675,0.3296,4.1051,4.06645,354.16945,350.5946
26,155.5,189.5,116.0,224.25,0.3046,0.319,0.3354,0.3318,4.17,4.1404,4.119,4.017,314.8937,381.768,362.6559,376.0383,135.75,206.875,0.31999999999999995,0.3254,4.1445,4.0786999999999995,338.7748,378.90315,172.5,170.125,0.31179999999999997,0.3336,4.1552,4.068,348.33085,369.34709999999995
27,112.0,169.25,61.0,123.25,0.303,0.3172,0.3034,0.3145,3.7628,3.5533,3.6636,3.4215,290.6899,334.4248,362.5616,345.637,86.5,146.25,0.3032,0.31584999999999996,3.7132,3.4874,326.62575000000004,340.0309,140.625,92.125,0.3101,0.30895,3.6580500000000002,3.5425500000000003,312.55735000000004,354.09929999999997
28,208.75,209.0,94.5,169.75,0.3144,0.3184,0.3039,0.3106,5.085,4.9429,4.9944,4.7298,273.7108,320.6483,320.6316,326.1554,151.625,189.375,0.30915000000000004,0.3145,5.0397,4.8363499999999995,297.1712,323.40184999999997,208.875,132.125,0.3164,0.30725,5.0139499999999995,4.8621,297.17955,323.3935
29,155.25,196.5,39.5,131.75,0.3982,0.4287,0.4248,0.4231,4.6029,4.3697,4.315,4.2326,285.6491,369.7408,388.8366,369.1896,97.375,164.125,0.4115,0.4259,4.45895,4.30115,337.24285,369.4652,175.875,85.625,0.41345,0.42395,4.4863,4.2738,327.69494999999995,379.0131
30,99.75,136.75,93.5,122.25,0.3234,0.3177,0.3219,0.3115,4.4128,4.3212,4.2798,4.2804,378.1692,402.0812,345.9854,379.7222,96.625,129.5,0.32265,0.3146,4.346299999999999,4.300800000000001,362.07730000000004,390.9017,118.25,107.875,0.32055,0.3167,4.367,4.2801,390.1252,362.8538
31,62.0,314.0,60.75,156.75,0.3046,0.3284,0.3309,0.3136,4.1118,4.4496,4.2388,4.1213,355.697,327.2502,361.9591,329.0639,61.375,235.375,0.31775,0.321,4.1753,4.28545,358.82804999999996,328.15705,188.0,108.75,0.3165,0.32225000000000004,4.2806999999999995,4.18005,341.47360000000003,345.51149999999996
32,54.5,165.5,60.25,123.75,0.3329,0.3471,0.3196,0.3515,4.905,4.9351,4.9539,4.7358,432.3693,391.3681,384.2619,370.8842,57.375,144.625,0.32625,0.3493,4.92945,4.83545,408.3156,381.12615000000005,110.0,92.0,0.33999999999999997,0.33555,4.92005,4.84485,411.8687,377.57305
33,76.5,279.25,107.25,178.5,0.3206,0.3516,0.3521,0.3448,3.9646,4.0617,4.0379,3.92,379.2414,355.059,369.7109,375.7326,91.875,228.875,0.33635000000000004,0.3482,4.00125,3.99085,374.47614999999996,365.3958,177.875,142.875,0.3361,0.34845000000000004,4.0131499999999996,3.9789499999999998,367.15020000000004,372.72175
